,metric,scaler,filter,num_clusters,score,scaled_score
64,silhouette,None,"('T_MIN_ES',)",2,0.7421215607166617,0.9659042428165022
65,calinski_harabasz,None,"('T_MIN_ES',)",2,1143124.9608247173,0.030319995959410595
66,davies_bouldin,None,"('T_MIN_ES',)",2,0.3814423464378709,0.01891240975484998
67,cdbw,None,"('T_MIN_ES',)",2,0.16832398269830037,0.9766042041126366
68,silhouette,None,"('T_MIN_ES',)",4,0.6365317554137266,0.6894432042501969
69,calinski_harabasz,None,"('T_MIN_ES',)",4,1702873.5062458045,0.3709974243453241
70,davies_bouldin,None,"('T_MIN_ES',)",4,0.5061789395668219,0.29536555045362656
71,cdbw,None,"('T_MIN_ES',)",4,0.12617415522538217,0.6180808640323494
72,silhouette,None,"('T_MIN_ES',)",6,0.4993142106147108,0.3301726777460633
73,calinski_harabasz,None,"('T_MIN_ES',)",6,2082579.9651159567,0.6020965866523781
74,davies_bouldin,None,"('T_MIN_ES',)",6,0.6030715870942867,0.5101082818980862
75,cdbw,None,"('T_MIN_ES',)",6,0.09618491291499759,0.3629945691595092
76,silhouette,None,"('T_MIN_ES',)",8,0.47078997939370026,0.25548896595171244
77,calinski_harabasz,None,"('T_MIN_ES',)",8,2326943.0403154762,0.7508222684472622
78,davies_bouldin,None,"('T_MIN_ES',)",8,0.6282569694535242,0.5659265296011715
79,cdbw,None,"('T_MIN_ES',)",8,0.08616386061773852,0.27775623353308315
80,silhouette,None,"('T_MIN_ES',)",10,0.438119742507704,0.16994995398178825
81,calinski_harabasz,None,"('T_MIN_ES',)",10,2541697.6657418315,0.8815274826415976
82,davies_bouldin,None,"('T_MIN_ES',)",10,0.6503440955600437,0.6148781261454583
83,cdbw,None,"('T_MIN_ES',)",10,0.07149435426938455,0.1529784887909475
84,silhouette,None,"('T_MIN_ES',)",12,0.40567910091346704,0.08501208103875768
85,calinski_harabasz,None,"('T_MIN_ES',)",12,2657724.756999837,0.9521445684674107
86,davies_bouldin,None,"('T_MIN_ES',)",12,0.7235484317944273,0.7771205616418588
87,cdbw,None,"('T_MIN_ES',)",12,0.06580688299732611,0.10460127542324832
88,silhouette,None,"('T_MIN_ES',)",14,0.3918913512967113,0.04891223628949837
89,calinski_harabasz,None,"('T_MIN_ES',)",14,2736353.41261045,0.9999999999999999
90,davies_bouldin,None,"('T_MIN_ES',)",14,0.7459590345176543,0.8267890779318929
91,cdbw,None,"('T_MIN_ES',)",14,0.061343340882495545,0.06663471367097812
92,silhouette,None,"('T_MIN_ES',)",16,0.3904809915049626,0.04521955467444705
93,calinski_harabasz,None,"('T_MIN_ES',)",16,2667002.4726514723,0.9577912259448628
94,davies_bouldin,None,"('T_MIN_ES',)",16,0.7963420033594788,0.9384526212808111
95,cdbw,None,"('T_MIN_ES',)",16,0.05820569185277575,0.03994610122392628
